id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
12357,11549,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12358,11550,100,1,Eutric Gleysols,37,40,23,loam,1.38,1.35,1.07,43.335
12359,11551,100,1,Terric Histosols,35,33,32,clay loam,1.32,0.28,39.4,330.96
12360,11552,100,1,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
12361,11553,100,1,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
12362,11554,100,1,SOLONCHAKS,36,43,21,loam,1.39,1.3,0.49,19.11
12363,11555,100,1,Mollic Solonchaks,24,44,32,clay loam,1.31,1.3,0.49,19.11
12364,11556,100,1,Mollic Solonchaks,92,5,3,sand,1.79,1.52,0.45,20.52
12365,11557,100,1,Mollic Solonchaks,92,5,3,sand,1.79,1.52,0.45,20.52
12366,11558,100,1,Mollic Solonchaks,24,44,32,clay loam,1.31,1.3,0.49,19.11
12367,11559,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12368,11560,100,1,Mollic Solonchaks,24,44,32,clay loam,1.31,1.3,0.49,19.11
12369,11561,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12370,11562,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12371,11563,100,1,Gypsic Solonchaks,79,13,8,loamy sand,1.62,1.52,0.45,20.52
12372,11564,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12373,11565,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12374,11566,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12375,11567,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12376,11568,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12377,11569,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12378,11570,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12379,11571,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12380,11572,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12381,11573,100,1,Sodic Solonchaks,34,47,19,loam,1.4,1.53,0.56,25.704
12382,11574,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12383,11575,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12384,11576,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12385,11577,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12386,11578,100,1,Gypsic Solonchaks,48,36,16,loam,1.46,1.3,0.99,38.61
12387,11579,100,1,Gypsic Solonchaks,6,40,54,clay (light),1.2,1.23,0.54,19.926
12388,11580,100,1,Gypsic Solonchaks,79,13,8,loamy sand,1.62,1.52,0.45,20.52
12389,11581,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12390,11582,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12391,11583,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12392,11584,100,1,Haplic Solonchaks,83,10,7,loamy sand,1.64,1.52,0.45,20.52
12393,11585,100,1,Haplic Solonchaks,83,10,7,loamy sand,1.64,1.52,0.45,20.52
12394,11586,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12395,11587,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12396,11588,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12397,11589,100,1,Gleyic Solonchaks,37,42,21,loam,1.39,1.41,0.42,17.766
12398,11590,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12399,11591,100,1,Haplic Solonchaks,83,10,7,loamy sand,1.64,1.52,0.45,20.52
12400,11592,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12401,11593,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
12402,11594,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12403,11595,100,1,Haplic Acrisols,52,24,24,sandy clay loam,1.41,1.43,1,42.9
12404,11596,100,1,Haplic Acrisols,52,24,24,sandy clay loam,1.41,1.43,1,42.9
12405,11597,100,1,Calcic Solonchaks,31,46,23,loam,1.37,1.3,0.46,17.94
12406,11598,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12407,11599,100,1,Sodic Solonchaks,34,47,19,loam,1.4,1.53,0.56,25.704
12408,11600,100,1,Gleyic Solonetz,32,43,25,loam,1.36,1.4,0.7,29.4
12409,11601,100,1,Haplic Solonetz,47,29,24,loam,1.39,1.54,0.7,32.34
12410,11602,100,1,Calcic Solonetz,50,27,23,sandy clay loam,1.41,1.51,0.5,22.65
12411,11603,100,1,Gypsic Solonetz,40,30,30,clay loam,1.35,1.48,0.7,31.08
12412,11604,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12413,11605,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12414,11606,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12415,11607,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12416,11608,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12417,11609,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12418,11610,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12419,11611,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12420,11612,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12421,11613,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12422,11614,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12423,11615,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12424,11616,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12425,11617,100,1,Cumulic Anthrosols,14,47,39,silty clay loam,1.26,1.28,0.8,30.72
12426,11618,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12427,11619,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12428,11620,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12429,11621,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12430,11622,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12431,11623,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12432,11624,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12433,11625,100,1,Plinthic Alisols,32,44,24,loam,1.36,1.26,1.2,45.36
12434,11626,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12435,11627,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12436,11628,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12437,11629,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12438,11630,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12439,11631,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12440,11632,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12441,11633,100,1,Cumulic Anthrosols,14,47,39,silty clay loam,1.26,1.28,0.8,30.72
12442,11634,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12443,11635,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12444,11636,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12445,11637,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12446,11638,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12447,11639,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12448,11640,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12449,11641,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12450,11642,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12451,11643,100,1,Plinthic Acrisols,24,32,44,clay (light),1.26,1.27,1.31,49.911
12452,11644,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12453,11645,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12454,11646,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12455,11647,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12456,11648,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12457,11649,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12458,11650,100,1,ANTHROSOLS,31,48,21,loam,1.38,1.41,1.15,48.645
12459,11651,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12460,11652,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12461,11653,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12462,11654,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12463,11655,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12464,11656,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12465,11657,100,1,Cumulic Anthrosols,14,47,39,silty clay loam,1.26,1.28,0.8,30.72
12466,11658,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12467,11659,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12468,11660,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12469,11661,100,1,Plinthic Acrisols,48,29,23,loam,1.4,1.44,1.16,50.112
12470,11662,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12471,11663,100,1,Eutric Gleysols,37,40,23,loam,1.38,1.35,1.07,43.335
12472,11664,100,1,Eutric Gleysols,17,32,51,clay (light),1.22,1.25,1.25,46.875
12473,11665,100,1,Eutric Gleysols,78,13,9,sandy loam,1.6,1.36,0.57,23.256
12474,11666,100,1,Eutric Gleysols,37,40,23,loam,1.38,1.35,1.07,43.335
12475,11667,100,1,Eutric Gleysols,37,40,23,loam,1.38,1.35,1.07,43.335
12476,11668,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12477,11669,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12478,11670,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12479,11671,100,1,Plinthic Acrisols,24,32,44,clay (light),1.26,1.27,1.31,49.911
12480,11672,100,1,Cumulic Anthrosols,14,47,39,silty clay loam,1.26,1.28,0.8,30.72
12481,11673,100,1,Plinthic Alisols,32,44,24,loam,1.36,1.26,1.2,45.36
12482,11674,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12483,11675,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12484,11676,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12485,11677,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12486,11678,100,1,Plinthic Alisols,12,21,67,clay(heavy),1.18,1.23,1.54,56.826
12487,11679,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12488,11680,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12489,11681,100,1,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
